05324641+0015521 4868 31 4.55 0.05 -0.39 0.06 0.34 0.00 #N/A Br20
05325496+0014073 4932 34 4.26 0.06 -0.11 0.05 0.05 0.00 #N/A Br20
05323677+0011048 4847 31 2.70 0.05 -0.32 0.06 -0.02 0.00 #N/A Br20
05323896+0011203 4382 31 1.81 0.06 -0.43 0.06 -0.63 0.00 #N/A Br20
05325005+0016164 4406 31 1.81 0.05 -0.50 0.06 -0.85 0.00 #N/A Br20
05512352+2142262 4870 64 4.53 0.18 0.01 0.06 2.01 0.09 2.138 Br21
05512423+2148457 5515 66 4.25 0.18 -0.21 0.05 2.37 0.11 2.138 Br21
05512525+2148238 3719 109 4.84 0.24 -0.13 0.09 -1.00 0.00 2.138 Br21
05513013+2149273 5609 83 3.50 0.22 -0.57 0.08 2.30 0.12 2.138 Br21
05513015+2144065 6144 81 3.34 0.23 -0.10 0.08 3.05 0.16 2.138 Br21
05513055+2144178 5197 82 3.09 0.22 -0.16 0.08 1.94 0.23 2.138 Br21
05513062+2147067 6528 82 3.54 0.22 0.10 0.08 3.55 0.15 2.138 Br21
05513114+2141582 5749 63 4.25 0.17 -0.31 0.06 2.22 0.09 2.138 Br21
05513161+2151019 4696 64 4.78 0.17 -0.11 0.05 0.76 0.20 2.138 Br21
05513458+2147413 6484 64 4.55 0.18 -0.15 0.05 2.69 0.00 2.138 Br21
05513488+2152181 4241 75 4.56 0.18 0.04 0.09 0.30 0.28 2.138 Br21
05513679+2149187 6387 81 3.41 0.22 -0.08 0.08 2.75 0.14 2.138 Br21
05513758+2148155 6344 66 4.33 0.18 -0.16 0.05 2.50 0.14 2.138 Br21
05513791+2143345 5223 64 3.63 0.18 -0.34 0.06 0.83 0.00 2.138 Br21
05513834+2144509 5815 82 3.84 0.22 -0.36 0.08 1.82 0.32 2.138 Br21
05513876+2148394 5831 99 4.64 0.33 -0.30 0.10 2.42 0.17 2.138 Br21
05513929+2150462 6284 81 3.33 0.21 -0.89 0.08 2.63 0.14 2.138 Br21
05513930+2145196 4948 64 4.48 0.17 -0.05 0.05 1.38 0.19 2.138 Br21
05513960+2142050 5062 63 3.97 0.18 -0.37 0.05 0.94 0.00 2.138 Br21
05514264+2148234 5698 65 4.00 0.17 -0.27 0.05 2.74 0.08 2.138 Br21
05514282+2146038 5633 83 4.66 0.22 -0.34 0.07 2.25 0.16 2.138 Br21
05514338+2148437 6868 83 4.07 0.22 0.30 0.07 2.41 0.00 2.138 Br21
05514365+2152044 5838 81 4.15 0.22 -0.90 0.08 2.58 0.10 2.138 Br21
05514373+2150579 4815 65 4.36 0.17 -0.05 0.06 0.52 0.45 2.138 Br21
05514410+2146077 5739 68 4.54 0.21 -0.05 0.06 2.43 0.14 2.138 Br21
05514448+2153356 6536 83 4.71 0.22 0.01 0.08 2.78 0.00 2.138 Br21
05514472+2152341 6216 80 4.03 0.22 -0.35 0.08 2.64 0.14 2.138 Br21
05514482+2147402 6057 81 4.11 0.22 -0.59 0.08 2.72 0.14 2.138 Br21
05514506+2143180 6389 81 3.90 0.22 -0.22 0.08 3.00 0.13 2.138 Br21
05514519+2146232 5737 81 3.86 0.21 -0.49 0.08 2.42 0.17 2.138 Br21
05514551+2145247 6242 84 3.67 0.21 -0.32 0.08 2.74 0.13 2.138 Br21
05514580+2144232 6279 84 4.24 0.22 -0.57 0.08 2.49 0.00 2.138 Br21
05514583+2149426 6649 82 4.22 0.22 -0.34 0.07 2.92 0.19 2.138 Br21
05514616+2146045 4614 67 2.21 0.17 -0.32 0.05 1.01 0.10 2.138 Br21
05514674+2144488 5595 64 3.89 0.17 -0.32 0.05 2.11 0.15 2.138 Br21
05514699+2148070 5239 66 4.24 0.18 -0.30 0.05 1.77 0.17 2.138 Br21
05514777+2149008 6455 84 4.42 0.22 -0.49 0.08 3.17 0.15 2.138 Br21
05514823+2148032 6811 85 4.10 0.22 0.17 0.08 3.23 0.20 2.138 Br21
05514880+2145122 5398 101 4.91 0.30 0.19 0.09 1.59 0.43 2.138 Br21
05514892+2143237 6418 81 3.85 0.22 0.01 0.08 3.31 0.14 2.138 Br21
05515107+2152086 5544 103 4.59 0.33 -0.05 0.10 2.04 0.31 2.138 Br21
05515117+2150050 4784 66 2.67 0.18 -0.14 0.05 1.02 0.10 2.138 Br21
05515173+2148039 5171 81 4.52 0.21 -0.21 0.08 1.59 0.00 2.138 Br21
05515174+2145530 6643 105 4.38 0.34 0.09 0.10 3.27 0.14 2.138 Br21
05515259+2154008 6372 65 4.10 0.17 0.15 0.05 2.06 0.28 2.138 Br21
05515345+2147578 5592 83 3.38 0.22 -0.31 0.07 2.48 0.11 2.138 Br21
05515363+2143481 5911 63 4.29 0.17 0.35 0.05 2.07 0.16 2.138 Br21
05515386+2148146 5451 65 4.68 0.17 0.29 0.05 1.44 0.23 2.138 Br21
05515523+2146016 5022 82 2.99 0.22 -0.14 0.08 1.17 0.15 2.138 Br21
05515612+2143198 6647 82 4.19 0.22 -1.02 0.08 2.68 0.00 2.138 Br21
05515655+2149434 6777 106 3.34 0.34 -0.40 0.10 3.31 0.20 2.138 Br21
05515716+2151083 6804 81 3.39 0.21 -0.09 0.07 2.89 0.00 2.138 Br21
05515796+2154008 6807 83 4.27 0.21 -0.16 0.08 2.75 0.17 2.138 Br21
05515822+2152296 3884 109 4.84 0.23 -0.08 0.08 -0.06 0.55 2.138 Br21
05515861+2144576 6098 66 4.09 0.17 0.10 0.06 1.94 0.00 2.138 Br21
05515881+2148095 5957 83 4.72 0.22 -0.64 0.07 2.45 0.12 2.138 Br21
05515943+2151437 6047 81 3.94 0.22 -0.52 0.08 2.27 0.13 2.138 Br21
05515983+2150176 6299 83 3.92 0.21 -0.10 0.08 3.25 0.13 2.138 Br21
05520138+2149031 5444 62 4.66 0.17 0.24 0.05 1.99 0.11 2.138 Br21
05520171+2145359 6190 65 4.12 0.17 -0.06 0.06 3.03 0.08 2.138 Br21
05520185+2150131 5184 81 4.22 0.23 0.00 0.08 1.52 0.37 2.138 Br21
05520287+2143393 6670 84 4.34 0.34 -0.73 0.08 2.94 0.22 2.138 Br21
05520328+2147366 5606 79 3.44 0.23 -0.20 0.07 2.17 0.22 2.138 Br21
05520515+2148489 6214 81 4.28 0.22 0.17 0.08 2.82 0.15 2.138 Br21
05520597+2149404 5129 64 3.55 0.18 -0.58 0.05 1.05 0.26 2.138 Br21
05520645+2142060 5087 103 3.16 0.34 -0.58 0.10 1.77 0.23 2.138 Br21
05520739+2148088 6540 80 4.50 0.22 -0.05 0.08 2.76 0.00 2.138 Br21
05521018+2149168 6314 65 4.23 0.17 -0.43 0.05 2.15 0.24 2.138 Br21
05521172+2142255 4060 75 4.52 0.18 -0.02 0.09 0.02 0.00 2.138 Br21
05514200+2148497 4520 33 2.25 0.05 -0.18 0.04 3.01 0.06 2.138 Br21
05514204+2148027 4509 31 2.15 0.05 -0.23 0.05 -1.00 0.00 2.138 Br21
05514483+2148504 4120 45 1.63 0.07 -0.44 0.08 0.42 0.08 2.138 Br21
05514883+2148542 4530 32 2.16 0.05 -0.20 0.04 -1.00 0.00 2.138 Br21
05514944+2146597 4419 33 1.91 0.05 -0.24 0.04 0.66 0.06 2.138 Br21
