05233297+0135176,6568.0,39.0,4.06,0.07,-0.07,0.05,3.32,0.03,25_Ori,0.9951
05242648+0126492,5966.0,79.0,4.15,0.08,0.06,0.05,3.51,0.07,25_Ori,0.9999
05251050+0135592,4838.0,56.0,4.5,0.1,-0.21,0.12,3.57,0.09,25_Ori,0.9923
05264349+0143538,5054.0,55.0,4.49,0.1,0.02,0.12,3.76,0.08,25_Ori,0.9992
05242422+0141333,7289.0,96.0,4.18,0.11,-0.02,0.07,3.26,0.06,25_Ori,0.9927
05243891+0154066,6185.0,81.0,4.2,0.09,0.02,0.05,3.4,0.07,25_Ori,0.9996
05253957+0142537,3965.75,98.14,3.45,0.32,-0.3,0.31,2.38,0.18,25_Ori,0.9998
08505112-4150558,4980.0,83.0,3.07,0.15,-0.17,0.07,2.84,0.12,Assc50,0.9999
08491676-4128195,5037.0,57.0,4.26,0.09,0.08,0.11,4.02,0.09,Assc50,0.9991
08513558-4147555,4057.79,67.66,3.74,0.22,-0.02,0.06,3.46,0.2,Assc50,0.9978
08494667-4144146,3814.25,59.05,4.52,0.1,-0.14,0.1,3.29,0.06,Assc50,0.9999
08505871-4201063,5135.0,53.0,4.5,0.1,-0.04,0.12,3.73,0.08,Assc50,0.9997
00015217-3017097,3937.0,62.13,4.67,0.09,0.01,0.05,0.0,0.26,Blanco1,1.0
00015342-3006129,3925.67,61.97,4.56,0.09,0.04,0.05,0.27,0.16,Blanco1,1.0
00015692-3012079,4020.94,64.6,4.76,0.09,0.05,0.04,0.41,0.13,Blanco1,1.0
00020421-3010344,4396.4,73.77,4.58,0.09,0.03,0.05,0.56,0.13,Blanco1,1.0
00012867-3012211,6476.0,59.0,3.9,0.09,0.01,0.11,3.22,0.04,Blanco1,0.9998
00013320-3012597,5311.0,31.0,4.55,0.05,-0.05,0.05,2.75,0.04,Blanco1,0.9999
00021804-2924052,4520.0,83.0,4.69,0.09,0.02,0.05,0.49,0.13,Blanco1,0.9999
00024879-2918422,5446.0,31.0,4.42,0.05,-0.02,0.05,2.71,0.04,Blanco1,1.0
00022426-3009090,3857.15,59.48,4.69,0.09,-0.17,0.08,1.52,0.09,Blanco1,0.9999
00030056-3015440,3928.77,60.88,4.54,0.08,0.07,0.04,-0.06,0.2,Blanco1,0.9999
00032418-2956229,4136.44,65.61,4.62,0.07,0.11,0.02,1.24,0.08,Blanco1,0.9999
00031081-3010489,6098.0,57.0,4.2,0.1,0.0,0.11,3.17,0.05,Blanco1,0.9999
00024822-2946349,4609.0,81.0,4.5,0.1,-0.01,0.05,1.28,0.11,Blanco1,1.0
00032467-2955146,4511.0,82.0,4.73,0.09,0.02,0.05,1.05,0.11,Blanco1,1.0
00032061-2949227,6230.0,32.0,4.36,0.05,-0.05,0.05,3.2,0.03,Blanco1,1.0
00032439-2948493,6538.0,61.0,3.91,0.09,0.14,0.11,3.17,0.05,Blanco1,0.9998
00032339-3041232,4327.88,70.74,4.53,0.08,0.0,0.04,0.49,0.11,Blanco1,0.9998
00052552-3018355,3884.6,60.01,4.63,0.08,0.11,0.05,0.1,0.21,Blanco1,0.9999
00050824-3029421,5754.0,32.0,4.42,0.05,0.01,0.05,2.91,0.03,Blanco1,0.9999
00043954-2935200,4804.0,82.0,4.52,0.07,0.01,0.04,1.92,0.1,Blanco1,0.9999
00044354-2941048,4614.0,83.0,4.56,0.08,0.0,0.05,2.03,0.12,Blanco1,0.9999
00045458-2926282,3992.17,62.46,4.78,0.08,-0.01,0.03,0.02,0.22,Blanco1,0.9999
00051756-2946573,4742.0,82.0,4.57,0.08,-0.01,0.05,2.07,0.11,Blanco1,0.9999
00052034-2930564,3918.7,60.27,4.7,0.07,0.04,0.03,-0.02,0.24,Blanco1,1.0
00043317-2938281,6317.0,33.0,4.18,0.05,-0.03,0.05,3.1,0.02,Blanco1,0.9999
00045864-2933477,5960.0,45.0,4.42,0.09,-0.01,0.12,3.17,0.04,Blanco1,0.9999
00055905-2939046,5923.0,36.0,4.47,0.05,-0.01,0.05,3.11,0.03,Blanco1,1.0
00060429-3002119,3868.57,59.41,4.65,0.08,-0.11,0.06,-0.06,0.22,Blanco1,0.9999
00045884-3009416,6038.0,44.0,4.34,0.09,-0.12,0.08,3.16,0.04,Blanco1,0.9999
00055472-3006258,5677.0,30.0,4.47,0.05,-0.01,0.05,2.99,0.03,Blanco1,1.0
00061723-3034316,4061.93,68.21,4.77,0.1,0.03,0.05,0.31,0.15,Blanco1,1.0
00062673-3026092,4031.99,65.34,4.59,0.1,-0.01,0.05,-0.07,0.26,Blanco1,0.9713
00070564-3014319,3826.67,58.04,4.66,0.07,0.08,0.04,0.11,0.18,Blanco1,1.0
00073766-2959467,3995.14,62.18,4.6,0.07,0.07,0.03,0.33,0.08,Blanco1,0.9999
05513013+2149273,5609.0,83.0,3.5,0.22,-0.57,0.08,2.3,0.12,Br21,0.9956
05513062+2147067,6528.0,82.0,3.54,0.22,0.1,0.08,3.55,0.15,Br21,0.9935
05513679+2149187,6387.0,81.0,3.41,0.22,-0.08,0.08,2.75,0.14,Br21,0.9823
05514338+2148437,6868.0,83.0,4.07,0.22,0.3,0.07,2.41,,Br21,0.9527
